instrument,asset_class,coef,pct,p,n
ES,equity-idx,-0.0628,-6.1,0.366,221319
NQ,equity-idx,-0.0493,-4.8,0.52,210791
YM,equity-idx,0.0264,2.7,0.685,209461
RTY,equity-idx,0.0186,1.9,0.762,99901
GC,metals,0.0106,1.1,0.864,221484
SI,metals,0.0095,1.0,0.862,195776
HG,metals,0.0751,7.8,0.076,202493
CL,energy,0.0349,3.6,0.509,220479
NG,energy,-0.0079,-0.8,0.881,169891
6E,FX,0.0426,4.3,0.428,216281
6B,FX,0.059,6.1,0.256,203635
6J,FX,0.0889,9.3,0.105,212163
ZT,rates,-0.0035,-0.3,0.964,138204
ZF,rates,0.0257,2.6,0.684,186259
ZN,rates,0.0273,2.8,0.686,199609
ZB,rates,0.0094,0.9,0.89,182502
SPY,US-cash,-0.0379,-3.7,0.33,61911
QQQ,US-cash,-0.0619,-6.0,0.146,46603
IWM,US-cash,-0.0124,-1.2,0.67,61631
DIA,US-cash,-0.0226,-2.2,0.617,61538
EWZ,ctry-ETF,0.0247,2.5,0.509,61527
EWW,ctry-ETF,-0.0348,-3.4,0.369,60460
EWU,ctry-ETF,-0.1325,-12.4,0.03,54429
EWG,ctry-ETF,-0.1207,-11.4,0.017,58401
EWQ,ctry-ETF,-0.0529,-5.2,0.341,39597
EWP,ctry-ETF,-0.0322,-3.2,0.524,45108
EWJ,ctry-ETF,0.0134,1.3,0.826,61115
EWY,ctry-ETF,0.0267,2.7,0.618,60315
ARGT,ctry-ETF,0.0067,0.7,0.959,6601
