nation,exchange,own_matches,in_session,y2010,y2014,y2018,y2022
Brazil,B3,22,14,4,1,4,5
Mexico,BMV,15,10,3,3,2,2
Argentina,BYMA,23,8,1,2,2,3
Netherlands,Euronext-AS,19,8,3,2,0,3
Portugal,Euronext-LS,16,8,3,2,1,2
France,Euronext-PA,22,7,1,2,3,1
Germany,Xetra,20,6,1,3,1,1
Switzerland,SIX,15,6,2,1,1,2
Spain,BME,18,4,1,1,0,2
England,LSE,19,3,1,1,0,1
Belgium,Euronext-BR,15,3,0,1,1,1
Italy,BorsaItaliana,6,3,1,2,0,0
South Africa,JSE,3,2,2,0,0,0
Poland,GPW,7,1,0,0,1,0
South Korea,KRX,7,0,0,0,0,0
Japan,JPX,15,0,0,0,0,0
Australia,ASX,13,0,0,0,0,0
Nigeria,NGX,10,0,0,0,0,0
