group,outcome,pct,coef,se,p,n
ALL,log rel-spread (bps),0.23,0.0023,0.0051,0.6555,2214908
ALL,log depth,-2.7,-0.0274,0.0154,0.0769,2214908
commodity_fut,log rel-spread (bps),-0.78,-0.0078,0.0079,0.3206,447609
commodity_fut,log depth,-2.39,-0.0242,0.0151,0.1099,447609
country_etf,log rel-spread (bps),-0.4,-0.004,0.0063,0.5214,491845
country_etf,log depth,-4.05,-0.0414,0.0191,0.0321,491845
equity_cash,log rel-spread (bps),0.81,0.008,0.0109,0.463,169538
equity_cash,log depth,-2.3,-0.0233,0.0166,0.1635,169538
equity_fut,log rel-spread (bps),-0.02,-0.0002,0.0058,0.9738,443803
equity_fut,log depth,-1.63,-0.0165,0.0366,0.6531,443803
fx_fut,log rel-spread (bps),-0.44,-0.0044,0.0077,0.5673,662113
fx_fut,log depth,1.3,0.0129,0.0227,0.5715,662113
