bin,phase,coef,se,p
-120,pre,0.0052,0.0578,0.9281
-105,pre,0.0511,0.065,0.4326
-90,pre,-0.0381,0.0554,0.4934
-75,pre,-0.0576,0.0621,0.3557
-60,pre,-0.0217,0.0579,0.7085
-45,pre,-0.0455,0.0617,0.4622
-30,pre,-0.0798,0.0609,0.192
-15,pre,-0.0643,0.0649,0.3234
0,during/post,-0.0267,0.0744,0.7207
15,during/post,-0.0069,0.0727,0.9241
30,during/post,-0.0427,0.0676,0.5289
45,during/post,-0.0087,0.0644,0.8925
60,during/post,-0.0633,0.0567,0.2663
75,during/post,-0.0973,0.0651,0.1371
90,during/post,-0.0833,0.065,0.2022
105,during/post,-0.1244,0.0604,0.0411
