term,coef,se,t,p,n,outcome,spec
lvol: per concurrent match,-0.036112307325439505,0.03132954903375905,-1.1526596596244272,0.2509599682584476,619741,lvol,intensity
lvol: match (group),-0.05293584536652531,0.03907339770579555,-1.3547796832286643,0.1776094519681064,619741,lvol,knockout
lvol: knockout extra,0.07313117628769593,0.11799970357801746,0.6197572881133895,0.5363970209813456,619741,lvol,knockout
lvol: pre -60..0,-0.03833255626639421,0.04790320430891275,-0.8002086044014837,0.4249081096724874,619741,lvol,phase
lvol: first half,-0.032194169345065186,0.06552810162681272,-0.49130325075512354,0.6239599627909769,619741,lvol,phase
lvol: halftime,-0.006474537718858657,0.06212454561967803,-0.10421867321968532,0.9171408306154074,619741,lvol,phase
lvol: second half,-0.08781160359495045,0.05305663286370854,-1.6550542101026313,0.10009138838380305,619741,lvol,phase
lvol: post +60,-0.06374734162897497,0.04813295727875557,-1.324401101303433,0.18746803428413839,619741,lvol,phase
lvol: USA-playing extra,0.0478737944885573,0.2093686636088158,0.22865787870721976,0.8194592410376487,619741,lvol,domestic
ltrades: per concurrent match,-0.027354162964669304,0.02608132412413044,-1.0488026924737779,0.29602601537954687,619741,ltrades,intensity
ltrades: match (group),-0.0390068749908858,0.03191975732909124,-1.222029183640925,0.22369320104067159,619741,ltrades,knockout
ltrades: knockout extra,0.05065122555241834,0.09702532827205688,0.5220412695785313,0.6024437028770047,619741,ltrades,knockout
ltrades: pre -60..0,-0.042983044215977186,0.03835684776766272,-1.1206094013860715,0.26431958554216606,619741,ltrades,phase
ltrades: first half,-0.029446677555359343,0.05450659706299805,-0.540240615669425,0.5898656635958224,619741,ltrades,phase
ltrades: halftime,0.0067340469668894,0.05090505656271217,0.13228640574425907,0.8949424234630285,619741,ltrades,phase
ltrades: second half,-0.07135936085910079,0.043000205781333185,-1.6595120781975092,0.09918895774460923,619741,ltrades,phase
ltrades: post +60,-0.044790030051564934,0.03957063714366892,-1.1319006537333727,0.25955757886969844,619741,ltrades,phase
ltrades: USA-playing extra,0.008055728887236954,0.18002382717179244,0.04474812592196234,0.9643700665529908,619741,ltrades,domestic
absret: per concurrent match,-2.3642931702428247e-05,2.5973778845610855e-05,-0.9102615311758349,0.36420573725786887,619756,absret,intensity
absret: match (group),-1.5724676087278746e-05,2.6809128608349712e-05,-0.5865418573277048,0.5584297964726757,619756,absret,knockout
absret: knockout extra,-1.893134722774804e-05,5.8568222700886065e-05,-0.3232358155109534,0.746985574958595,619756,absret,knockout
absret: pre -60..0,-4.729727397388476e-05,3.2574292060452066e-05,-1.4519816389596272,0.14868202428431165,619756,absret,phase
absret: first half,-4.17011168976959e-05,4.887658486945253e-05,-0.8531921166153072,0.39496971735600095,619756,absret,phase
absret: halftime,1.3665969154361864e-05,3.769214635937389e-05,0.3625680804713099,0.7174591488661952,619756,absret,phase
absret: second half,-4.4146517373674414e-05,3.801012261331275e-05,-1.1614410672332964,0.247384153409566,619756,absret,phase
absret: post +60,-1.6634248836538943e-05,2.855413645171257e-05,-0.5825512834075317,0.561106476350266,619756,absret,phase
absret: USA-playing extra,3.3895976277576894e-05,0.00015175778426372826,0.22335576683612926,0.8235751689348989,619756,absret,domestic
hlrange: per concurrent match,-4.672842994901439e-05,5.147674203777385e-05,-0.9077581078212927,0.3655226658158286,619756,hlrange,intensity
hlrange: match (group),-4.074337679753581e-05,5.136319012341938e-05,-0.7932407761206913,0.42894263468537863,619756,hlrange,knockout
hlrange: knockout extra,-7.553568057732128e-06,0.00012426770372391454,-0.060784643405931794,0.9516150014474738,619756,hlrange,knockout
hlrange: pre -60..0,-9.670517356586456e-05,6.125899771511658e-05,-1.5786280737988814,0.11661560244745184,619756,hlrange,phase
hlrange: first half,-7.426054911220267e-05,9.705857400578864e-05,-0.7651106548070006,0.4454577813874596,619756,hlrange,phase
hlrange: halftime,-2.510861101031254e-06,7.046323761443736e-05,-0.03563363231718434,0.9716238389440757,619756,hlrange,phase
hlrange: second half,-9.581451959884626e-05,7.378798314439129e-05,-1.298511160162117,0.19618740822248726,619756,hlrange,phase
hlrange: post +60,-4.908924662054147e-05,5.5036367384705705e-05,-0.8919419822425106,0.37391204088923313,619756,hlrange,phase
hlrange: USA-playing extra,6.271654098800094e-05,0.00029420230679721976,0.21317487843910277,0.8314920661693872,619756,hlrange,domestic
