term,coef,se,t,p,n,outcome,shift
lvol +1day,0.024062421828163642,0.04147764208371665,0.5801299355348385,0.5627336494065422,619741,lvol,+1day
ltrades +1day,0.013942403320355568,0.033886285048377776,0.41144679331035217,0.6813566727457676,619741,ltrades,+1day
absret +1day,-1.8694309099147256e-05,2.504614349027669e-05,-0.7463947136773644,0.4566458350676763,619756,absret,+1day
hlrange +1day,-2.934133946569983e-05,5.1553774761104995e-05,-0.5691404674374407,0.5701474820443344,619756,hlrange,+1day
lvol +3h,-0.07639991312729784,0.048587032654415864,-1.5724342268585563,0.11804451348204625,619741,lvol,+3h
ltrades +3h,-0.07115238862448708,0.0392157654848393,-1.8143822451201261,0.0717004319204464,619741,ltrades,+3h
absret +3h,-2.6790520526241308e-05,3.015070246546549e-05,-0.8885537760497314,0.3757247901439198,619756,absret,+3h
hlrange +3h,-6.007753073272076e-05,5.684647154808169e-05,-1.0568383418820673,0.2923551283397563,619756,hlrange,+3h
lvol -1day,-0.041662254434009685,0.0370608582337843,-1.1241578425194374,0.26281654112202735,619741,lvol,-1day
ltrades -1day,-0.030450363368810972,0.030589309837840757,-0.9954576788503446,0.32118352159343444,619741,ltrades,-1day
absret -1day,-2.8342548890648764e-05,2.328687393567917e-05,-1.2171040633849743,0.22555552815096136,619756,absret,-1day
hlrange -1day,-5.5176255871297886e-05,4.6182189244764275e-05,-1.1947518464069626,0.2341481131898766,619756,hlrange,-1day
