group,sample,coef,se,p,n
crypto_spot,baseline,-0.02719407824249129,0.036331680365133776,0.45538247325131587,415261
crypto_spot,ex_macro,-0.030343551801869463,0.03283733317824151,0.3570027357441701,409831
crypto_perp,baseline,-0.039798592896321,0.06963190076858045,0.5694529604209873,204480
crypto_perp,ex_macro,-0.061222063684020944,0.06253238755900463,0.3309290234254849,201584
equity_fut,baseline,-0.029762478722892362,0.06976159368812064,0.6705932744421244,220174
equity_fut,ex_macro,-0.03675686006081069,0.06753262366811755,0.587495734434925,216555
commodity_fut,baseline,0.06989579765547586,0.0664795925047814,0.29569299967356444,221928
commodity_fut,ex_macro,0.05543461675398283,0.06325583926125891,0.3830018097549073,218308
fx_fut,baseline,0.10433558597900526,0.06575213922504915,0.1158122592900972,325733
fx_fut,ex_macro,0.09514290174960734,0.059350825104389625,0.11217298437003809,320308
