group,outcome,coef,se,p,n
crypto_spot,lvol,0.11717512187720233,0.28422712233967146,0.6841393116213128,66240
crypto_spot,ltrades,-0.17358634190867314,0.26110544029335264,0.5130792193085809,66240
crypto_spot,absret,-6.134697548945678e-05,0.00011009061968379858,0.5829886196181682,66240
crypto_spot,hlrange,-7.068243411775064e-05,0.00020216068188289035,0.7299374633499021,66240
crypto_perp,lvol,-0.25283470900165517,0.3743278700893885,0.506436500860918,66240
crypto_perp,ltrades,-0.16556282981060333,0.29815672671353605,0.584300533728044,66240
crypto_perp,absret,-6.415281036581286e-05,0.00011157879144164563,0.5711553312220765,66240
crypto_perp,hlrange,-8.455111334756979e-05,0.00020586678297415887,0.6852594970651771,66240
equity_fut,lvol,-0.11071220576642293,0.1946456351333103,0.5791939034903231,32880
equity_fut,ltrades,-0.08631202911343036,0.23400913341492918,0.7181840057631068,32880
equity_fut,absret,4.02266704852548e-05,0.0002057406147663763,0.8480077925305376,32880
equity_fut,hlrange,-0.00012148824586077752,0.00012333265143162412,0.34258099270451314,32880
commodity_fut,lvol,0.18152948115215833,0.4276667277466896,0.6781672515025292,32760
commodity_fut,ltrades,0.1621622070703564,0.4217252567935259,0.7068089705016125,32760
commodity_fut,absret,0.00013515354167195406,0.00021526568637895315,0.5409779007500157,32760
commodity_fut,hlrange,0.00013030787520597125,0.00025922705250716886,0.6235978515553255,32760
fx_fut,lvol,0.4535085955308743,0.5065305921775591,0.3868919736615153,44332
fx_fut,ltrades,0.4419570653767239,0.40009335400139856,0.2893440732664012,44332
fx_fut,absret,3.490411655676762e-05,4.335335703089956e-05,0.4352361535710578,44332
fx_fut,hlrange,2.9600602350989235e-05,2.843696428923392e-05,0.31688541649468926,44332
