instrument,term,outcome,coef,se,p,n
ES,ES match,lvol,-0.05587436814245516,0.07129737479267488,0.43513697021765596,110073
ES,ES x domestic,lvol,0.08940846835585341,0.1120547157407391,0.4268775090675616,110073
ES,ES match,ltrades,-0.03605743982375637,0.06816446417389857,0.5980297519348405,110073
ES,ES x domestic,ltrades,0.10135687915599448,0.09053389511672258,0.2656717437405458,110073
ES,ES match,absret,9.780479251600908e-06,1.8632636281818575e-05,0.6008426074689783,110072
ES,ES x domestic,absret,-5.270500983454633e-07,2.1944691231580247e-05,0.9808882256556424,110072
NQ,NQ match,lvol,-0.013064567996365094,0.07113140953933879,0.8546572606358058,110101
NQ,NQ x domestic,lvol,0.30409875787133434,0.14390506686103155,0.03715113382189883,110101
NQ,NQ match,ltrades,0.002474867542802921,0.06946852818373926,0.971653997442405,110101
NQ,NQ x domestic,ltrades,0.22772386314284887,0.09724088516014312,0.021233282503187567,110101
NQ,NQ match,absret,8.478227067370995e-06,2.4043072754399985e-05,0.7251334537116003,110100
NQ,NQ x domestic,absret,-7.371007808579746e-06,2.7861799375489267e-05,0.7919127949673073,110100
6E,6E match,lvol,0.0031744707923303675,0.08129944753790441,0.9689334501992881,110365
6E,6E x domestic,lvol,0.1944202549154318,0.10942719379220928,0.07875113161405811,110365
6E,6E match,ltrades,0.010851532773291128,0.07402883164944617,0.8837636398490991,110365
6E,6E x domestic,ltrades,0.1560322845954453,0.10655323615936703,0.14632912899174477,110365
6E,6E match,absret,-3.985310142241881e-06,6.326817308947167e-06,0.5302360749654558,110364
6E,6E x domestic,absret,1.7612348707838385e-05,1.2308385873172902e-05,0.1556661762910312,110364
6B,6B match,lvol,0.12177310525279346,0.07414263761972488,0.10374179606464873,105731
6B,6B x domestic,lvol,-0.4158737679513852,0.1576534971243237,0.00971789821104041,105731
6B,6B match,ltrades,0.1057150663586974,0.0691732731845341,0.1297013398729736,105731
6B,6B x domestic,ltrades,-0.36396453653815797,0.11751886733697772,0.002555989788506574,105731
6B,6B match,absret,3.152104988632509e-06,7.4281011250839865e-06,0.6722512166342023,105730
6B,6B x domestic,absret,-2.1172264601204157e-05,1.0308607751906423e-05,0.042681482860624564,105730
6J,6J match,lvol,0.1356359145166072,0.06996236877817244,0.05544468130198177,109637
6J,6J x domestic,lvol,0.07561198546371505,0.1362290451805654,0.5801479269246166,109637
6J,6J match,ltrades,0.11903610693022139,0.0672807011370044,0.07999575265124292,109637
6J,6J x domestic,ltrades,0.08597224131026722,0.12415159516394414,0.4902917139839724,109637
6J,6J match,absret,4.4195474087249634e-06,7.539054446206322e-06,0.5590891013673125,109636
6J,6J x domestic,absret,-9.021409493377594e-06,1.9518240157492978e-05,0.6449700591095184,109636
