group,term,outcome,coef,se,p,n
crypto_spot,match(group),lvol,-0.03612521339175356,0.03600936415550567,0.31743889043577056,415261
crypto_spot,knockout extra,lvol,0.029922878010136746,0.10095145122697975,0.7673451277374961,415261
crypto_spot,match(group),ltrades,-0.01926597199873394,0.027703477963464673,0.48790339903698055,415261
crypto_spot,knockout extra,ltrades,0.010129211571399078,0.07734571447188107,0.8959895602034338,415261
crypto_spot,match(group),absret,3.0670271651846225e-06,2.524147934676012e-05,0.9034585266984207,415276
crypto_spot,knockout extra,absret,-4.7465283902485295e-05,5.256876189158902e-05,0.3680772893300601,415276
crypto_perp,match(group),lvol,-0.08836226548252582,0.06112742370165289,0.15276797676983245,204480
crypto_perp,knockout extra,lvol,0.16433326735738824,0.18795127637215558,0.38492321809704677,204480
crypto_perp,match(group),ltrades,-0.08080736782571382,0.05571679802913467,0.15143462201561908,204480
crypto_perp,knockout extra,ltrades,0.13608025643889005,0.16775294808609462,0.4200037011639326,204480
crypto_perp,match(group),absret,-5.5712744605621794e-05,3.941557246047647e-05,0.16194915628023554,204480
crypto_perp,knockout extra,absret,4.110000811329415e-05,8.726891585246732e-05,0.6391349925479357,204480
equity_fut,match(group),lvol,-0.0570022301606283,0.07733817481841578,0.46286998879410435,220174
equity_fut,knockout extra,lvol,0.12531209905415838,0.15844235113681396,0.43093173141086694,220174
equity_fut,match(group),ltrades,-0.04357592465538039,0.0722342201773347,0.547744582775741,220174
equity_fut,knockout extra,ltrades,0.1413622667276621,0.1792403169316353,0.4322256164754099,220174
equity_fut,match(group),absret,-1.0785671388160139e-05,1.5385726444358805e-05,0.48497008519632523,220172
equity_fut,knockout extra,absret,9.118437692291695e-05,7.763047843064505e-05,0.24303227464537813,220172
commodity_fut,match(group),lvol,0.06278175639011888,0.06593168244850077,0.3433499720280664,221928
commodity_fut,knockout extra,lvol,0.031430411634361714,0.21320453638968406,0.8831072527679231,221928
commodity_fut,match(group),ltrades,0.04348835609098696,0.06561015364496003,0.5090116480854721,221928
commodity_fut,knockout extra,ltrades,0.06237967670043231,0.21274614127266642,0.7699866495656367,221928
commodity_fut,match(group),absret,1.8625294958575602e-05,1.6651063690206846e-05,0.26608828988208955,221926
commodity_fut,knockout extra,absret,2.0582783009148605e-05,3.522449360182313e-05,0.560353828358779,221926
fx_fut,match(group),lvol,0.07560552310399976,0.06715094945588408,0.26298410679930595,325733
fx_fut,knockout extra,lvol,0.12828200879330326,0.19524084044010656,0.5127079686472678,325733
fx_fut,match(group),ltrades,0.055076974133500836,0.06276148624414372,0.38235090547886097,325733
fx_fut,knockout extra,ltrades,0.1678631026049319,0.19278627593850653,0.3860561973400347,325733
fx_fut,match(group),absret,-3.0362587700435555e-06,4.615773685601615e-06,0.5122243093032963,325730
fx_fut,knockout extra,absret,2.5594705397939515e-05,2.2818029404859004e-05,0.26476428683158293,325730
