group,outcome,primary,pct,coef,se,p,n,q_bh
ALL,lvol,True,2.3301889811946817,0.02303454589079528,0.04381153468881815,0.5998606233626482,1387576,
ALL,ltrades,True,2.347402287699971,0.023202745120023627,0.041367475955193904,0.5757419210109469,1387576,
ALL,absret,True,,7.66442183686015e-07,1.6462523438904494e-05,0.9629309786795126,1387584,
ALL,hlrange,True,,-3.3166666006064963e-06,3.310992590606946e-05,0.9203476030453541,1387591,
ALL,lavg_trade,False,-0.016818508448487552,-0.00016819922918217075,0.006425989625083505,0.9791541248470248,1387576,
ALL,signed_imb,False,,0.0016996144905397908,0.0021255731288863824,0.4252579200102693,1355418,
ALL,amihud,False,,52.903916461054365,171.91914233454708,0.7587357934870935,1387569,
crypto_spot,lvol,True,-2.6827648384423735,-0.02719407824249129,0.036331680365133776,0.45538247325131587,415261,0.7144978751115003
crypto_spot,ltrades,True,-1.6111486882600816,-0.01624268802621678,0.028640197679656563,0.5715095253083269,415261,0.7144978751115003
crypto_spot,absret,True,,-1.1099664558216803e-05,2.655449897911888e-05,0.6765729632549697,415276,0.7144978751115003
crypto_spot,hlrange,True,,-3.300349148222648e-05,5.237465401467819e-05,0.5296000684212927,415276,0.7144978751115003
crypto_spot,lavg_trade,False,-1.0891642049838919,-0.010951390216274547,0.013309170043166547,0.41195642087397566,415261,
crypto_spot,signed_imb,False,,0.0071831024435653635,0.005685949540340723,0.20852026412535496,415261,
crypto_spot,amihud,False,,427.1613469750947,450.8018378187699,0.34494142119059545,415261,
crypto_perp,lvol,True,-3.901703154105739,-0.039798592896321,0.06963190076858045,0.5694529604209873,204480,0.7144978751115003
crypto_perp,ltrades,True,-3.9780148504400072,-0.04059300876491118,0.06259831607469377,0.5188039332213337,204480,0.7144978751115003
crypto_perp,absret,True,,-4.356689386340006e-05,4.902669592174094e-05,0.3772421785576827,204480,0.7144978751115003
crypto_perp,hlrange,True,,-6.461486242110826e-05,9.831412093101137e-05,0.5131891089164093,204480,0.7144978751115003
crypto_perp,lavg_trade,False,0.07947315004518787,0.0007944158685902916,0.010699268446356778,0.9410235937855929,204480,
crypto_perp,signed_imb,False,,0.0082293200047315,0.004665089333697391,0.08209137998273253,204480,
crypto_perp,amihud,False,,-0.0018303453657810527,0.0035230931961992454,0.605031575843975,204480,
equity_fut,lvol,True,-2.9323937612331634,-0.029762478722892362,0.06976159368812064,0.6705932744421244,220174,0.7144978751115003
equity_fut,ltrades,True,-1.2765089864218375,-0.012847263676904627,0.0673438788409214,0.8491036704789623,220174,0.8491036704789623
equity_fut,absret,True,,9.035569158003194e-06,2.1032568313814745e-05,0.6684401836172864,220172,0.7144978751115003
equity_fut,hlrange,True,,1.6554320604628547e-05,3.9852361888423976e-05,0.6787729813559253,220174,0.7144978751115003
equity_fut,lavg_trade,False,-1.6772956039242708,-0.016915215045987666,0.01581496735549757,0.28746724266335755,220174,
equity_fut,signed_imb,False,,-0.004026193534460049,0.002921058727646339,0.17127120300684262,216783,
equity_fut,amihud,False,,156.07283912677875,76.02988209703288,0.0427864072914419,220172,
commodity_fut,lvol,True,7.239642920972211,0.06989579765547586,0.0664795925047814,0.29569299967356444,221928,0.7144978751115003
commodity_fut,ltrades,True,5.9299175900333365,0.05760753465374375,0.06580044664549979,0.38347093609729654,221928,0.7144978751115003
commodity_fut,absret,True,,2.3284058417743847e-05,1.5177827450863088e-05,0.1282643697299215,221926,0.7144978751115003
commodity_fut,hlrange,True,,4.17154831899771e-05,2.8617651306749436e-05,0.14815778535808866,221928,0.7144978751115003
commodity_fut,lavg_trade,False,1.2364073915432814,0.012288263001732157,0.00925360254373338,0.18731310219734265,221928,
commodity_fut,signed_imb,False,,-0.0018692644873701749,0.0036610372549338724,0.6108029036860505,217244,
commodity_fut,amihud,False,,-31.99826866839035,300.1061989165924,0.9153081571427153,221926,
fx_fut,lvol,True,10.997288375800373,0.10433558597900526,0.06575213922504915,0.1158122592900972,325733,0.7144978751115003
fx_fut,ltrades,True,9.710141679549858,0.09267162624098346,0.06305713613398936,0.1448938857829032,325733,0.7144978751115003
fx_fut,absret,True,,2.6959399403707344e-06,6.468498183787717e-06,0.6777602929645976,325730,0.7144978751115003
fx_fut,hlrange,True,,1.0345328091873778e-05,1.377277540766449e-05,0.4543848965846897,325733,0.7144978751115003
fx_fut,lavg_trade,False,1.1732248965734602,0.011663959738021625,0.008104124620502234,0.15329553552574993,325733,
fx_fut,signed_imb,False,,-0.0019729441280346253,0.005146484454797139,0.7022935112693787,301650,
fx_fut,amihud,False,,-416.7505487682518,263.01067112271653,0.11632617191519157,325730,
